Method,Dataset,Dimension,Width_mean,Width_std,Coverage_mean,Coverage_std,Model
CQR_sym,Dialsumm,consistency,2.500415238095238,0.5201435335512605,0.913,0.02821289826357233,dsr1
CQR_sym,Dialsumm,fluency,1.1068938095238097,0.09540600133401757,0.9283333333333332,0.019203284280052507,dsr1
CQR_sym,Dialsumm,relevance,2.3253480952380956,0.24399405163673032,0.9168571428571428,0.03197993741244014,dsr1
LVD,Dialsumm,coherence,1.4071838095238094,0.04496619274816444,0.902904761904762,0.012268881430673898,dsr1
LVD,Dialsumm,consistency,2.0342290476190477,0.05986441065760695,0.9018571428571428,0.015685822857126018,dsr1
LVD,Dialsumm,fluency,1.2164866666666667,0.0455451286793956,0.9041428571428571,0.015469886299687643,dsr1
LVD,Dialsumm,relevance,1.8660914285714287,0.08330973524099923,0.9001428571428571,0.017625991619680807,dsr1
R2CCP,Dialsumm,coherence,1.3137657142857144,0.10682982894241144,0.8991904761904762,0.02762135486654091,dsr1
R2CCP,Dialsumm,consistency,1.8601198979591838,0.13708355068743522,0.8922448979591836,0.026204696201494754,dsr1
R2CCP,Dialsumm,fluency,1.1858793650793649,0.13476683779914847,0.9057142857142857,0.023457098686898763,dsr1
R2CCP,Dialsumm,relevance,1.704290306122449,0.16007516030647584,0.8938775510204081,0.025699164110088105,dsr1
Boosted_cqr,GEval,cosmos,3.3957891156462585,0.2517608597881859,0.8091836734693878,0.07706941460431489,dsr1
Boosted_cqr,GEval,drop,2.8353904761904762,0.31313107661051515,0.8501587301587302,0.046383533936061164,dsr1
Boosted_cqr,GEval,esnli,2.2333114035087718,0.3561547578416677,0.8368421052631578,0.06687846446694548,dsr1
Boosted_cqr,GEval,gsm8k,3.2687633333333332,0.16854992196795088,0.8053333333333333,0.0591160946247142,dsr1
Boosted_lcp,GEval,cosmos,3.4900782312925167,0.2309769442284702,0.8173469387755101,0.11357569481349869,dsr1
Boosted_lcp,GEval,drop,2.941126984126984,0.14629369992941854,0.8606349206349206,0.05623155846065692,dsr1
Boosted_lcp,GEval,esnli,1.993061403508772,0.27546087808351083,0.8333333333333334,0.10539540996255738,dsr1
Boosted_lcp,GEval,gsm8k,3.378626666666667,0.19366884272819457,0.8113333333333334,0.0739400191829946,dsr1
CHR,GEval,cosmos,2.6408163265306124,0.25609279809078694,0.780952380952381,0.06524084821391103,dsr1
CHR,GEval,drop,2.1947936507936507,0.22754555406514027,0.8012698412698412,0.0440170236499006,dsr1
CHR,GEval,esnli,1.8001315789473684,0.19812057225834093,0.7723684210526316,0.06674890253828827,dsr1
CHR,GEval,gsm8k,2.77,0.3382697352603445,0.8190000000000001,0.04245484416534169,dsr1
CQR_asym,GEval,cosmos,3.8854591836734693,0.21408918763574755,0.9894557823129252,0.019779793728407272,dsr1
CQR_asym,GEval,drop,3.8772857142857142,0.20371738437179343,0.9777777777777777,0.0367864958830636,dsr1
CQR_asym,GEval,esnli,2.9517412280701754,0.6335760890917522,0.9714912280701754,0.030533850792095803,dsr1
CQR_asym,GEval,gsm8k,3.8997733333333335,0.21106715050663022,0.9926666666666667,0.014367908045682776,dsr1
CQR_sym,GEval,cosmos,3.6184591836734694,0.2818679439034205,0.9629251700680272,0.029898233388838617,dsr1
CQR_sym,GEval,drop,3.8202952380952384,0.12627850038959873,0.9622222222222222,0.03078287128150871,dsr1
CQR_sym,GEval,esnli,3.325228070175439,0.6150804994789735,0.9785087719298246,0.03664768074815654,dsr1
CQR_sym,GEval,gsm8k,3.54191,0.34949023601377704,0.9526666666666667,0.0333149374526092,dsr1
LVD,GEval,cosmos,3.3142891156462584,0.30216631981264597,0.8952380952380953,0.05809089249753199,dsr1
LVD,GEval,drop,2.8076412698412696,0.19556786708911994,0.8898412698412699,0.03525392032116869,dsr1
LVD,GEval,esnli,2.863188596491228,0.5076437493817267,0.9482456140350877,0.03998957102877805,dsr1
LVD,GEval,gsm8k,3.3891666666666667,0.19117921603479324,0.9006666666666666,0.042094584247721306,dsr1
R2CCP,GEval,cosmos,3.0488503401360547,0.46009551962937256,0.8683673469387755,0.05873119272983152,dsr1
R2CCP,GEval,drop,2.4384761904761905,0.5713517288234601,0.8587301587301588,0.08054406183085686,dsr1
R2CCP,GEval,esnli,1.9585428849902533,0.43154977301832337,0.8542884990253411,0.07018949476860949,dsr1
R2CCP,GEval,gsm8k,2.5078066666666667,0.8053310207967104,0.8676666666666667,0.08892784108219555,dsr1
Boosted_cqr,SocREval,cosmos,3.1683979591836735,0.1447453680831444,0.8272108843537415,0.05243865081564104,dsr1
Boosted_cqr,SocREval,drop,2.467752380952381,0.2736781820777369,0.8111111111111111,0.057474861096304196,dsr1
Boosted_cqr,SocREval,esnli,1.788872807017544,0.23109738352612466,0.8096491228070176,0.07816714682854417,dsr1
Boosted_cqr,SocREval,gsm8k,2.9412266666666667,0.2916594600620357,0.7983333333333333,0.07414260878052248,dsr1
Boosted_lcp,SocREval,cosmos,3.4829931972789114,0.24125616647079226,0.8159863945578232,0.10837097596780489,dsr1
Boosted_lcp,SocREval,drop,2.788384126984127,0.14103274787659478,0.8546031746031747,0.04529178964207175,dsr1
Boosted_lcp,SocREval,esnli,1.8354780701754385,0.15649796394108859,0.806140350877193,0.07909343213227964,dsr1
Boosted_lcp,SocREval,gsm8k,3.4265600000000003,0.14033928739382623,0.8523333333333334,0.047538248363515286,dsr1
CHR,SocREval,cosmos,2.664761904761905,0.2854575268011746,0.7649659863945578,0.06739294982842758,dsr1
CHR,SocREval,drop,1.9541587301587302,0.1868726006794968,0.7806349206349206,0.0461503106618596,dsr1
CHR,SocREval,esnli,1.3774122807017544,0.15059664322577324,0.7197368421052631,0.06807728101693053,dsr1
CHR,SocREval,gsm8k,2.0051333333333337,0.712907390287432,0.8160000000000001,0.05468404545739283,dsr1
CQR_asym,SocREval,cosmos,3.8403333333333336,0.24573806895387248,0.9908163265306122,0.01524147737339805,dsr1
CQR_asym,SocREval,drop,3.947593650793651,0.18639647167518214,0.9926984126984127,0.028261408711395535,dsr1
CQR_asym,SocREval,esnli,2.861311403508772,0.5844836129479807,0.9605263157894737,0.04329644442136042,dsr1
CQR_asym,SocREval,gsm8k,3.8511866666666665,0.2732051808633479,0.9843333333333334,0.028367457476449323,dsr1
CQR_sym,SocREval,cosmos,3.4774489795918364,0.19256612837519477,0.9670068027210885,0.025798279614120897,dsr1
CQR_sym,SocREval,drop,3.8292285714285716,0.17747308829169758,0.9634920634920635,0.03842902483405418,dsr1
CQR_sym,SocREval,esnli,2.9717543859649123,0.6057498244017839,0.9635964912280702,0.049436036827322075,dsr1
CQR_sym,SocREval,gsm8k,3.459306666666667,0.4208137584066943,0.956,0.03737969207083363,dsr1
LVD,SocREval,cosmos,3.245020408163265,0.1868773108206918,0.880952380952381,0.04502679146909844,dsr1
LVD,SocREval,drop,2.622088888888889,0.19202702805391464,0.8806349206349205,0.041681246960279236,dsr1
LVD,SocREval,esnli,2.2396929824561402,0.28164259320503404,0.9096491228070176,0.03889984183491516,dsr1
LVD,SocREval,gsm8k,3.0156466666666666,0.4430366239498938,0.9063333333333333,0.04055505694334753,dsr1
R2CCP,SocREval,cosmos,2.937765306122449,0.5688693005022077,0.8697278911564627,0.08374652812484967,dsr1
R2CCP,SocREval,drop,2.2930761904761905,0.5341830207557835,0.8634920634920635,0.09081117946396157,dsr1
R2CCP,SocREval,esnli,1.8450438596491228,0.4443071058808823,0.8786549707602339,0.07922802116689,dsr1
R2CCP,SocREval,gsm8k,1.8796166666666667,1.1479566833962087,0.8533333333333334,0.07018858013672304,dsr1
Boosted_cqr,Summeval,coherence,2.4617554166666666,0.09207118297087645,0.8781666666666667,0.017621907081681123,qwen
Boosted_cqr,Summeval,consistency,0.80399875,0.06644512857636878,0.8828333333333334,0.013297545361595076,qwen
Boosted_cqr,Summeval,fluency,1.2429833333333333,0.08209862763021299,0.89225,0.012833482608476516,qwen
Boosted_cqr,Summeval,relevance,1.8760029166666667,0.05546053162121988,0.8716666666666666,0.017872673870027635,qwen
Boosted_lcp,Summeval,coherence,2.4318441666666666,0.05435934998062517,0.86925,0.018299472387344196,qwen
Boosted_lcp,Summeval,consistency,0.6682337500000001,0.04610924097086707,0.888125,0.01489818173353772,qwen
Boosted_lcp,Summeval,fluency,0.9413087499999999,0.049705835984587624,0.892625,0.01605603737560726,qwen
Boosted_lcp,Summeval,relevance,1.8618916666666665,0.04791486470874637,0.8750833333333333,0.017173472593495512,qwen
CHR,Summeval,coherence,2.1395291666666667,0.06393325320723892,0.8092916666666666,0.024268796779536392,qwen
CHR,Summeval,consistency,0.6092375000000001,0.051159406367879176,0.890375,0.011726728605758028,qwen
CHR,Summeval,fluency,0.9773958333333334,0.07097732216851126,0.8893333333333333,0.015694185906391187,qwen
CHR,Summeval,relevance,1.6136041666666665,0.04740190737256754,0.796125,0.023867337188776615,qwen
CQR_asym,Summeval,coherence,2.7961895833333332,0.1616048596367869,0.9312916666666666,0.024052034408660793,qwen
CQR_asym,Summeval,consistency,1.1099745833333332,0.11737670160913267,0.9447083333333333,0.010791336590167986,qwen
CQR_asym,Summeval,fluency,1.6332962500000001,0.23387633830294952,0.9479166666666666,0.01623286010308833,qwen
CQR_asym,Summeval,relevance,2.16566875,0.1395175038359574,0.9220833333333334,0.022701049395967603,qwen
CQR_sym,Summeval,coherence,2.7294312499999998,0.14190569316139642,0.9225,0.01796788322497136,qwen
CQR_sym,Summeval,consistency,0.9800045833333333,0.13316186228687382,0.9310416666666667,0.013056918388964977,qwen
CQR_sym,Summeval,fluency,1.4368429166666665,0.11963259536490384,0.93725,0.013757443126515553,qwen
CQR_sym,Summeval,relevance,2.1052233333333334,0.12077899669389978,0.9130416666666666,0.014026158341331096,qwen
LVD,Summeval,coherence,2.553982083333333,0.06582744289403128,0.9049166666666667,0.01329349292033468,qwen
LVD,Summeval,consistency,0.84550375,0.1119487854902279,0.9282083333333334,0.0162041240138883,qwen
LVD,Summeval,fluency,1.0875066666666666,0.09600273269353554,0.909375,0.015392669269537999,qwen
LVD,Summeval,relevance,1.9428766666666666,0.07530526115113226,0.8927083333333333,0.015376325753513454,qwen
R2CCP,Summeval,coherence,2.436685775862069,0.14259716830160224,0.8954310344827586,0.024837138859956642,qwen
R2CCP,Summeval,consistency,0.6122340517241379,0.13409351122746294,0.9072844827586207,0.02021665289278103,qwen
R2CCP,Summeval,fluency,0.9526645833333334,0.12182461120518524,0.9017499999999999,0.019207353117832296,qwen
